mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Model,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__max_features,param_model__n_estimators
0.004393100738525391,0.0005191895078042566,0.0011723995208740234,0.00021847305895785906,0.01,lbfgs,"{'model__C': 0.01, 'model__solver': 'lbfgs'}",0.7002983802216538,0.8124040920716112,0.7694295900178254,0.7051693404634581,0.8072244180939833,0.7589051641737063,0.048228504019940784,1,0.8578703703703704,0.8319444444444444,0.8414563831230497,0.8370217745217746,0.8406862745098039,0.8417958493938886,0.008712962627697496,Logistic Regression,,,,,,
0.002412223815917969,0.0002750711350295942,0.0,0.0,0.01,liblinear,"{'model__C': 0.01, 'model__solver': 'liblinear'}",,,,,,,,5,,,,,,,,Logistic Regression,,,,,,
0.004600381851196289,0.0003864304805166931,0.0010322093963623046,6.845870555248132e-05,0.1,lbfgs,"{'model__C': 0.1, 'model__solver': 'lbfgs'}",0.7152173913043477,0.8016197783461211,0.6974153297682709,0.7776292335115865,0.7940491875274484,0.757186184091555,0.04262646639081109,2,0.8912037037037037,0.8714506172839506,0.8590896757563424,0.8602835436168769,0.8703159041394336,0.8704686889000615,0.011525168024857067,Logistic Regression,,,,,,
0.0023749828338623046,0.00025583744897821596,0.0,0.0,0.1,liblinear,"{'model__C': 0.1, 'model__solver': 'liblinear'}",,,,,,,,5,,,,,,,,Logistic Regression,,,,,,
0.00655674934387207,0.0004912086553063189,0.0011516571044921874,0.00012862964950511498,1.0,lbfgs,"{'model__C': 1.0, 'model__solver': 'lbfgs'}",0.6887468030690537,0.762830349531117,0.7307486631016044,0.7820855614973262,0.7005709266578832,0.7329964607713969,0.03553674377962419,3,0.9060185185185187,0.8771604938271604,0.8927231718898386,0.8865910324243659,0.8904411764705883,0.8905868786260944,0.009369686050591144,Logistic Regression,,,,,,
0.002353048324584961,0.0001987022033743047,0.0,0.0,1.0,liblinear,"{'model__C': 1.0, 'model__solver': 'liblinear'}",,,,,,,,5,,,,,,,,Logistic Regression,,,,,,
0.008707094192504882,0.000662833398384645,0.001134347915649414,8.113092436294313e-05,10.0,lbfgs,"{'model__C': 10.0, 'model__solver': 'lbfgs'}",0.6789428815004263,0.7581415174765559,0.6989304812834226,0.7820855614973262,0.6637022397891963,0.7163605363093855,0.045917781360308746,4,0.9060185185185187,0.8882716049382716,0.8968898385565053,0.8865910324243659,0.8879901960784314,0.8931522381032186,0.007389553529005676,Logistic Regression,,,,,,
0.0023643970489501953,0.00021841723693421294,0.0,0.0,10.0,liblinear,"{'model__C': 10.0, 'model__solver': 'liblinear'}",,,,,,,,5,,,,,,,,Logistic Regression,,,,,,
0.002635335922241211,6.89521369932688e-05,0.0009058952331542969,2.92058769510225e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.6817988064791134,0.6460358056265986,0.6938502673796791,0.7227272727272727,0.7001097935880544,0.6889043891601436,0.025227821990653782,81,0.7743827160493827,0.7902777777777777,0.7882800841134174,0.7738400488400488,0.776525054466231,0.7806611362493715,0.007121532517808134,Decision Tree,gini,3,1.0,2.0,,
0.0026157379150390627,8.18356482924891e-05,0.0009311199188232422,7.46676746592772e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.6817988064791134,0.6460358056265986,0.6938502673796791,0.7227272727272727,0.7001097935880544,0.6889043891601436,0.025227821990653782,81,0.7743827160493827,0.7902777777777777,0.7882800841134174,0.7738400488400488,0.776525054466231,0.7806611362493715,0.007121532517808134,Decision Tree,gini,3,1.0,5.0,,
0.002683258056640625,0.00017723336076352978,0.0009363651275634766,7.733081528999453e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.6817988064791134,0.6460358056265986,0.6938502673796791,0.7227272727272727,0.7001097935880544,0.6889043891601436,0.025227821990653782,81,0.7743827160493827,0.7902777777777777,0.7882800841134174,0.7738400488400488,0.776525054466231,0.7806611362493715,0.007121532517808134,Decision Tree,gini,3,1.0,10.0,,
0.0026098251342773437,4.493658327759607e-05,0.0009477138519287109,7.072911278249826e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.6817988064791134,0.6460358056265986,0.6938502673796791,0.7227272727272727,0.7001097935880544,0.6889043891601436,0.025227821990653782,81,0.7743827160493827,0.7878086419753085,0.7858109483109482,0.7701770451770451,0.774074074074074,0.7784506851173517,0.007012860261809331,Decision Tree,gini,3,2.0,2.0,,
0.002640819549560547,0.0001431087219089511,0.000893402099609375,2.4513975234056506e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.6817988064791134,0.6460358056265986,0.6938502673796791,0.7227272727272727,0.7001097935880544,0.6889043891601436,0.025227821990653782,81,0.7743827160493827,0.7878086419753085,0.7858109483109482,0.7701770451770451,0.774074074074074,0.7784506851173517,0.007012860261809331,Decision Tree,gini,3,2.0,5.0,,
0.002618074417114258,7.834189266608303e-05,0.0009527206420898438,0.00010495141439590872,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.6817988064791134,0.6460358056265986,0.6938502673796791,0.7227272727272727,0.7001097935880544,0.6889043891601436,0.025227821990653782,81,0.7743827160493827,0.7878086419753085,0.7858109483109482,0.7701770451770451,0.774074074074074,0.7784506851173517,0.007012860261809331,Decision Tree,gini,3,2.0,10.0,,
0.0025965690612792967,1.5507401268290567e-05,0.0009144306182861328,2.1936893333573532e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 4, 'model__min_samples_split': 2}",0.6817988064791134,0.6460358056265986,0.6938502673796791,0.7227272727272727,0.7001097935880544,0.6889043891601436,0.025227821990653782,81,0.7743827160493827,0.786574074074074,0.7858109483109482,0.7701770451770451,0.774074074074074,0.7782037715371048,0.00669349393462916,Decision Tree,gini,3,4.0,2.0,,
0.0025385379791259765,2.1764678276313018e-05,0.0009182929992675781,4.674721421759194e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5}",0.6817988064791134,0.6460358056265986,0.6938502673796791,0.7227272727272727,0.7001097935880544,0.6889043891601436,0.025227821990653782,81,0.7743827160493827,0.786574074074074,0.7858109483109482,0.7701770451770451,0.774074074074074,0.7782037715371048,0.00669349393462916,Decision Tree,gini,3,4.0,5.0,,
0.0025775909423828127,2.275537664012376e-05,0.0009251117706298828,7.67095096187408e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 4, 'model__min_samples_split': 10}",0.6817988064791134,0.6460358056265986,0.6938502673796791,0.7227272727272727,0.7001097935880544,0.6889043891601436,0.025227821990653782,81,0.7743827160493827,0.786574074074074,0.7858109483109482,0.7701770451770451,0.774074074074074,0.7782037715371048,0.00669349393462916,Decision Tree,gini,3,4.0,10.0,,
0.0028713703155517577,4.650705032652868e-05,0.0009148120880126953,8.078133748100956e-06,,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7138107416879796,0.6495311167945439,0.690017825311943,0.7762032085561498,0.7079929732103646,0.7075111731121961,0.041051715133153026,49,0.8919753086419754,0.8683641975308642,0.8672602089268756,0.8564339981006648,0.88099128540305,0.873004999720686,0.012270217116986427,Decision Tree,gini,5,1.0,2.0,,
0.0028639316558837892,7.329336132011734e-05,0.0008928298950195313,2.6545914749367414e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.7138107416879796,0.6495311167945439,0.690017825311943,0.7762032085561498,0.7246596398770312,0.7108445064455295,0.04162811262203038,47,0.8919753086419754,0.865895061728395,0.8647910731244064,0.8539648622981956,0.8736383442265795,0.8700529300039104,0.012627325997370866,Decision Tree,gini,5,1.0,5.0,,
0.002823543548583984,3.914551370501013e-05,0.0008825302124023437,1.8324201181703593e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.6804774083546462,0.6593350383631713,0.690017825311943,0.7610516934046346,0.7246596398770312,0.7031083210622853,0.03583716871709041,59,0.8804012345679012,0.8597222222222222,0.8556861348528016,0.8461351919685253,0.8736383442265795,0.863116625567606,0.012365820031406016,Decision Tree,gini,5,1.0,10.0,,
0.0027939796447753905,1.2541270519811832e-05,0.0008872032165527343,2.1715941099024032e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.7334185848252345,0.6593350383631713,0.7292335115864529,0.7762032085561498,0.7079929732103646,0.7212366633082746,0.03805489821026984,29,0.8759259259259259,0.8506172839506173,0.8658306199972867,0.8534611992945326,0.8699346405228758,0.8631539339382478,0.009668330850406574,Decision Tree,gini,5,2.0,2.0,,
0.0028658390045166017,4.906452775378804e-05,0.0009159088134765625,2.394871606910348e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.7334185848252345,0.6593350383631713,0.7292335115864529,0.7595365418894832,0.7246596398770312,0.7212366633082746,0.03323479331363257,29,0.8759259259259259,0.8506172839506173,0.8658306199972867,0.8534611992945326,0.8650326797385621,0.8621735417813848,0.009166558430008583,Decision Tree,gini,5,2.0,5.0,,
0.002809286117553711,9.38281770803504e-05,0.0008966922760009766,2.0745978652415846e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.6902813299232737,0.6593350383631713,0.7292335115864529,0.744385026737968,0.7246596398770312,0.7095789092975795,0.030731224425326803,48,0.86929012345679,0.8506172839506173,0.8517874101207434,0.8449413241079907,0.8650326797385621,0.8563337642749407,0.009237678819309769,Decision Tree,gini,5,2.0,10.0,,
0.0028028964996337892,3.445734977296552e-05,0.0009100437164306641,3.559230861762085e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__min_samples_leaf': 4, 'model__min_samples_split': 2}",0.6873401534526854,0.6648763853367434,0.7429590017825313,0.744385026737968,0.7246596398770312,0.712844041437392,0.031599674969637954,42,0.8594135802469136,0.8439814814814813,0.8460775335775336,0.8415462623795956,0.8633169934640522,0.8508671702299152,0.008778062140315528,Decision Tree,gini,5,4.0,2.0,,
0.002805757522583008,2.0492572706303205e-05,0.0008989810943603515,1.0027875233643655e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5}",0.6873401534526854,0.6648763853367434,0.7429590017825313,0.744385026737968,0.7246596398770312,0.712844041437392,0.031599674969637954,42,0.8594135802469136,0.8439814814814813,0.8460775335775336,0.8415462623795956,0.8633169934640522,0.8508671702299152,0.008778062140315528,Decision Tree,gini,5,4.0,5.0,,
0.0028254032135009766,5.5772134594428336e-05,0.0008952140808105469,1.552571828561848e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__min_samples_leaf': 4, 'model__min_samples_split': 10}",0.6873401534526854,0.6648763853367434,0.7429590017825313,0.744385026737968,0.7246596398770312,0.712844041437392,0.031599674969637954,42,0.8594135802469136,0.8439814814814813,0.836200990367657,0.8415462623795956,0.8633169934640522,0.8488918615879399,0.010563322072446365,Decision Tree,gini,5,4.0,10.0,,
0.003110456466674805,9.709971232181232e-05,0.0009168624877929687,1.9685117731699822e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.6953964194373401,0.6183716965046888,0.7194295900178252,0.6929590017825311,0.758498023715415,0.69693094629156,0.04579602785168494,69,0.9851851851851853,0.9827160493827161,0.9691765025098359,0.9802469135802468,0.9876906318082789,0.9810030564932527,0.0064122903842066615,Decision Tree,gini,8,1.0,2.0,,
0.0031198978424072264,7.361374304039988e-05,0.000912618637084961,2.376850287572341e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.6804774083546462,0.6904944586530264,0.654367201426025,0.7081105169340464,0.7751646903820816,0.701722855149965,0.04063129144483613,62,0.9649691358024691,0.9600308641975309,0.9436406186406187,0.9655134988468322,0.9557189542483661,0.9579746143471635,0.008006718537975032,Decision Tree,gini,8,1.0,5.0,,
0.003024387359619141,5.9444096827546654e-05,0.0008969783782958984,1.0310494082085916e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.6706734867860188,0.6956095481670929,0.7238859180035652,0.7125668449197861,0.7549626701800615,0.7115396936113049,0.02815263960912422,46,0.9117283950617284,0.8998456790123456,0.894429181929182,0.9296788088454756,0.9130718954248366,0.9097507920547135,0.012205978008190666,Decision Tree,gini,8,1.0,10.0,,
0.003048419952392578,3.585580807984485e-05,0.0008931636810302734,1.0600809655449107e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.7052003410059676,0.6615089514066496,0.6597147950089127,0.7149732620320856,0.7339042599912164,0.6950603218889664,0.02960809832393262,75,0.9402777777777778,0.9316358024691359,0.934690001356668,0.9366554741554741,0.9435185185185185,0.9373555148555148,0.004167310012806205,Decision Tree,gini,8,2.0,2.0,,
0.0029938220977783203,5.8137772875591145e-05,0.0009273052215576172,5.5352271127913795e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.715004262574595,0.6470161977834612,0.6695187165775401,0.7467914438502673,0.7505709266578832,0.7057803094887494,0.041331145117236005,57,0.9373456790123457,0.9316358024691359,0.9324888074888075,0.9312949396282729,0.9361111111111112,0.9337752679419346,0.0024733911972436786,Decision Tree,gini,8,2.0,5.0,,
0.0033565521240234374,0.0003108344715601632,0.0011486053466796876,0.00029261572126399756,,,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.673614663256607,0.7101023017902813,0.6392156862745099,0.7512477718360072,0.7549626701800615,0.7058286186674934,0.04465498974409329,54,0.8944444444444445,0.8808641975308643,0.8978242436575771,0.8985144485144486,0.9044662309368192,0.8952227130168307,0.007871705999714033,Decision Tree,gini,8,2.0,10.0,,
0.003171205520629883,0.00024896023760001996,0.0009500026702880859,4.637093651976018e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_leaf': 4, 'model__min_samples_split': 2}",0.7214407502131288,0.6431798806479113,0.7420677361853834,0.7042780748663103,0.7549626701800615,0.7131858224185591,0.03905840148870791,36,0.8791666666666668,0.8853395061728394,0.8877119793786461,0.8870217745217746,0.9002995642701525,0.8879078982020159,0.0068903229775731335,Decision Tree,gini,8,4.0,2.0,,
0.0029590606689453127,5.1454109985893906e-05,0.0009314537048339844,3.8619512154051066e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5}",0.7214407502131288,0.6431798806479113,0.7420677361853834,0.7042780748663103,0.7549626701800615,0.7131858224185591,0.03905840148870791,36,0.8791666666666668,0.8853395061728394,0.8877119793786461,0.8870217745217746,0.9002995642701525,0.8879078982020159,0.0068903229775731335,Decision Tree,gini,8,4.0,5.0,,
