mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Task,Model,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__max_features,param_model__n_estimators
0.07726693153381348,0.0022610078676388386,0.004310989379882812,4.003944574876284e-05,,,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7017102615694165,0.7198581560283688,0.7753062540296582,0.7718676122931443,0.7197506984741027,0.7376985964789382,0.030058031059887753,13,0.8100419084461639,0.7963369553041335,0.8150666517307046,0.8016466898174078,0.7979724431499944,0.8042129296896808,0.007201951226482783,Pass/Fail Risk,Random Forest,,5,1.0,2.0,log2,100.0
0.16444005966186523,0.017777350390792843,0.007823419570922852,0.0002967961570327676,,,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.7173756826674331,0.7249086610788739,0.7551042338276381,0.750161186331399,0.7197506984741027,0.7334600924758894,0.015919661381734698,15,0.8086449602407049,0.8008961577237594,0.810003360591464,0.8044247787610619,0.8002464433740338,0.8048431401382048,0.003948798014119599,Pass/Fail Risk,Random Forest,,5,1.0,2.0,log2,200.0
0.0830146312713623,0.004153555984821408,0.004890632629394531,0.00024365223523129892,,,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.7208968094279965,0.7249086610788739,0.7652052439286482,0.7567160971416291,0.7248012035246079,0.7385056030203512,0.018586284880255613,7,0.8087792821835376,0.7981068668085582,0.810003360591464,0.7948134871737426,0.801389044471827,0.8026184082458258,0.00592074358833712,Pass/Fail Risk,Random Forest,,5,1.0,5.0,log2,100.0
0.15979151725769042,0.007497870094355533,0.007659721374511719,0.00025667207453834766,,,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.7173756826674331,0.729959166129379,0.7601547388781431,0.750161186331399,0.7364066193853428,0.7388114786783394,0.01501992514010124,5,0.8061197077154524,0.8051977147978044,0.805701803517419,0.7997423546544191,0.7997423546544191,0.8033007870679028,0.0029200825640094954,Pass/Fail Risk,Random Forest,,5,1.0,5.0,log2,200.0
0.08955163955688476,0.018142423783810264,0.004711055755615234,0.00041627762653397075,,,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7173756826674331,0.7198581560283688,0.7753062540296582,0.7597249086610789,0.738448312916398,0.7421426628605874,0.02250604328073507,3,0.8024661508704062,0.7993726895933684,0.805825025204436,0.7972219110563459,0.795564019267391,0.8000899591983895,0.0036813469558368357,Pass/Fail Risk,Random Forest,,5,2.0,2.0,log2,100.0
0.1576925754547119,0.0044037858277659785,0.008004999160766602,0.0003494451785281098,,,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.7208968094279965,0.7249086610788739,0.7601547388781431,0.7516655920911239,0.7333978078658929,0.738204721868406,0.01524764743606026,9,0.8044809800128949,0.8059594488629999,0.8053209364848213,0.8022740002240394,0.7942981964825809,0.8024667124134673,0.004270008604642202,Pass/Fail Risk,Random Forest,,5,2.0,2.0,log2,200.0
0.0781209945678711,0.0027708357293116316,0.004353761672973633,0.00018424576849530709,,,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.71579476861167,0.7249086610788739,0.7803567590801633,0.758220502901354,0.738448312916398,0.7435458009176918,0.023297384739465424,1,0.8087792821835376,0.8015234681303909,0.8050632911392406,0.7911504424778761,0.7972107090847989,0.8007454386031687,0.00613759051346276,Pass/Fail Risk,Random Forest,,5,2.0,5.0,log2,100.0
0.15597920417785643,0.01202980907274508,0.007615137100219727,0.0001612082979865322,,,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.7138545559068697,0.7249086610788739,0.761659144637868,0.750161186331399,0.739952718676123,0.7381072533262267,0.017121862030941504,11,0.8048570814528262,0.8064635375826146,0.8019043351629886,0.7992382659348045,0.7989806205892237,0.8022887681444916,0.0029806752861474945,Pass/Fail Risk,Random Forest,,5,2.0,5.0,log2,200.0
0.10410084724426269,0.015892249220205747,0.006141138076782226,0.0014743532459559174,,,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.6890629491233113,0.7037395228884591,0.7339350956372233,0.7188910380399742,0.6940683430045131,0.7079393897386963,0.016505030475860157,17,0.9865946701053083,0.9764758597513162,0.9877338411560435,0.9824129046712221,0.9826705500168029,0.9831775651401387,0.003954513435624738,Pass/Fail Risk,Random Forest,,10,1.0,2.0,sqrt,100.0
0.2022106170654297,0.0039041174324919055,0.01657257080078125,0.013294765160387871,,,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.6922247772348376,0.705243928648184,0.7288845905867183,0.710294433698689,0.6768751343219428,0.7027045728980743,0.017472456353228537,25,0.9862185686653772,0.9795115940405512,0.9891228856278704,0.9872185504648818,0.9853254172734401,0.9854794032144243,0.0032398895297689424,Pass/Fail Risk,Random Forest,,10,1.0,2.0,sqrt,200.0
0.10047221183776855,0.002204362117451285,0.005254793167114258,0.0002767084591063343,,,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.6934463926415637,0.7037395228884591,0.7354395013969482,0.7117988394584139,0.6804212336127229,0.7049690979996216,0.018503908188649977,21,0.9628196862239415,0.9478884283633919,0.9643329225943766,0.9555953847877225,0.9533213845636832,0.9567915613066231,0.0060983466806615915,Pass/Fail Risk,Random Forest,,10,1.0,5.0,sqrt,100.0
0.18888554573059083,0.0033252214135811274,0.009166288375854491,0.00036952773618670413,,,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.7024288588674907,0.7117988394584139,0.728347302815388,0.6946056307758435,0.6798839458413927,0.7034129155517056,0.016273883594852774,23,0.9595422308188266,0.9552257197266719,0.9653411000336058,0.9634367648706172,0.9542063403158956,0.9595504311531234,0.004379450625163444,Pass/Fail Risk,Random Forest,,10,1.0,5.0,sqrt,200.0
0.09661188125610351,0.0020650770730728904,0.005377531051635742,0.0003889632046087137,,,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7040097729232538,0.6723619170427682,0.7248012035246079,0.7133032452181389,0.6783795400816678,0.6985711357580874,0.020145738805121906,29,0.9494143563292499,0.9406743586871289,0.958003808670326,0.9517979164332923,0.9456032261678056,0.9490987332575607,0.005828794602043168,Pass/Fail Risk,Random Forest,,10,2.0,2.0,sqrt,100.0
0.19714741706848143,0.0042856387076440705,0.009500074386596679,0.0004424725718047172,,,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.705949985628054,0.6961100365355685,0.6990113905007522,0.7032022351171288,0.6804212336127229,0.6969389762788453,0.00892462397366129,35,0.94879647539222,0.941940181471939,0.9586311190769575,0.9509129606810799,0.9459840932004033,0.94925296596452,0.005569130418383891,Pass/Fail Risk,Random Forest,,10,2.0,2.0,sqrt,200.0
0.09977283477783203,0.0028117442240605402,0.005313491821289063,0.0002157013666524932,,,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.6883443518252371,0.7016978293574039,0.7131957876638728,0.716849344508919,0.686976144422953,0.7014126915556773,0.01229966103829975,27,0.9489039329464861,0.9358687128934693,0.9488966058026213,0.9414248907807774,0.9416825361263583,0.9433553357099426,0.00498130510611248,Pass/Fail Risk,Random Forest,,10,2.0,5.0,sqrt,100.0
0.20979604721069336,0.025919315544629482,0.009110975265502929,0.000561343942951583,,,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.6953866053463639,0.6931012250161186,0.7061035890823124,0.6996561358263487,0.6819256393724479,0.6952346389287183,0.007992342962616666,39,0.9436116483988825,0.9385235801501064,0.9531981628766664,0.9461073148874202,0.9404167133415482,0.9443714839309247,0.00512521042301265,Pass/Fail Risk,Random Forest,,10,2.0,5.0,sqrt,200.0
0.09437217712402343,0.0005442341711698896,0.004943990707397461,4.529566497375865e-05,,,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.6890629491233113,0.7037395228884591,0.7339350956372233,0.7188910380399742,0.6940683430045131,0.7079393897386963,0.016505030475860157,17,0.9865946701053083,0.9764758597513162,0.9877338411560435,0.9824129046712221,0.9826705500168029,0.9831775651401387,0.003954513435624738,Pass/Fail Risk,Random Forest,,10,1.0,2.0,log2,100.0
0.18749775886535644,0.0007767569966801051,0.008859348297119141,0.00012072179669039233,,,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.6922247772348376,0.705243928648184,0.7288845905867183,0.710294433698689,0.6768751343219428,0.7027045728980743,0.017472456353228537,25,0.9862185686653772,0.9795115940405512,0.9891228856278704,0.9872185504648818,0.9853254172734401,0.9854794032144243,0.0032398895297689424,Pass/Fail Risk,Random Forest,,10,1.0,2.0,log2,200.0
0.0931673526763916,0.00047872340490181294,0.004966354370117188,0.0001670991850163868,,,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.6934463926415637,0.7037395228884591,0.7354395013969482,0.7117988394584139,0.6804212336127229,0.7049690979996216,0.018503908188649977,21,0.9628196862239415,0.9478884283633919,0.9643329225943766,0.9555953847877225,0.9533213845636832,0.9567915613066231,0.0060983466806615915,Pass/Fail Risk,Random Forest,,10,1.0,5.0,log2,100.0
0.18424248695373535,0.0008325511100789615,0.008686351776123046,7.429689109098035e-05,,,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.7024288588674907,0.7117988394584139,0.728347302815388,0.6946056307758435,0.6798839458413927,0.7034129155517056,0.016273883594852774,23,0.9595422308188266,0.9552257197266719,0.9653411000336058,0.9634367648706172,0.9542063403158956,0.9595504311531234,0.004379450625163444,Pass/Fail Risk,Random Forest,,10,1.0,5.0,log2,200.0
0.09216036796569824,0.0006687802824490121,0.004819440841674805,3.784639432497709e-05,,,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7040097729232538,0.6723619170427682,0.7248012035246079,0.7133032452181389,0.6783795400816678,0.6985711357580874,0.020145738805121906,29,0.9494143563292499,0.9406743586871289,0.958003808670326,0.9517979164332923,0.9456032261678056,0.9490987332575607,0.005828794602043168,Pass/Fail Risk,Random Forest,,10,2.0,2.0,log2,100.0
