Task,Core Project Model,Best Tuned Model,Best CV Balanced Accuracy,Best Parameters,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,Macro F1 Score,Weighted F1 Score
Pass/Fail Risk,True,Logistic Regression,0.99,"{""model__C"": 1.0, ""model__solver"": ""lbfgs""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0
Commerce Risk,True,Decision Tree,1.0,"{""model__criterion"": ""gini"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2}",1.0,1.0,1.0,1.0,1.0,1.0,1.0
xAPI Benchmark,False,Logistic Regression,0.7572,"{""model__C"": 0.1, ""model__solver"": ""lbfgs""}",0.7604,0.7889,0.7599,0.7889,0.7672,0.7672,0.755
