Model,Version,Best CV Balanced Accuracy,Best Parameters,CV Folds,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1 Score,Weighted F1 Score
Logistic Regression,Tuned,0.7589,"{""model__C"": 0.01, ""model__solver"": ""lbfgs""}",5,0.6979,0.7413,0.7041,0.7413,0.7021,0.6835
Decision Tree,Tuned,0.7489,"{""model__criterion"": ""entropy"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5}",5,0.6771,0.7022,0.6794,0.7022,0.6878,0.6727
Random Forest,Tuned,0.8026,"{""model__max_depth"": 12, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}",5,0.7812,0.7994,0.7812,0.7994,0.7881,0.7791
