Model,Version,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1 Score,Weighted F1 Score,Best CV Balanced Accuracy,Best Parameters,CV Folds
Decision Tree,Baseline,1.0,1.0,1.0,1.0,1.0,1.0,,,
Random Forest,Baseline,1.0,1.0,1.0,1.0,1.0,1.0,,,
Decision Tree,Tuned,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""model__criterion"": ""gini"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2}",5.0
Random Forest,Tuned,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}",5.0
Logistic Regression,Tuned,0.99,0.9949,0.875,0.9949,0.926,0.9907,0.9968,"{""model__C"": 50.0, ""model__solver"": ""lbfgs""}",5.0
Logistic Regression,Baseline,0.9652,0.9821,0.7308,0.9821,0.8067,0.9713,,,
