Model,Version,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,Macro F1 Score,Weighted F1 Score,Best CV Balanced Accuracy,Best Parameters,CV Folds
Logistic Regression,Baseline,0.75,0.7509,0.8148,0.7458,0.7788,0.7457,0.7517,,,
Logistic Regression,Tuned,0.75,0.7509,0.8148,0.7458,0.7788,0.7457,0.7517,0.7368,"{""model__C"": 0.01, ""model__solver"": ""lbfgs""}",5.0
Random Forest,Tuned,0.7233,0.7221,0.7866,0.7288,0.7566,0.7181,0.725,0.7394,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5, ""model__n_estimators"": 300}",5.0
Random Forest,Baseline,0.7233,0.7035,0.7423,0.8136,0.7763,0.7069,0.7194,,,
Decision Tree,Tuned,0.71,0.6935,0.7394,0.7853,0.7616,0.6957,0.7076,0.7063,"{""model__criterion"": ""entropy"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2}",5.0
Decision Tree,Baseline,0.68,0.6866,0.7718,0.6497,0.7055,0.6776,0.6826,,,
